,Anticipation,joy,Trust,Fear,Surprise,Sadness,Disgust,Anger
0,0.2,0.1,0.2,0.1,0.1,0.6,0.3,0.2
1,0.2,0.1,0.2,0.1,0.3,0.6,0.2,0.3
2,0.2,0.1,0.2,0.1,0.3,0.4,0.3,0.2
3,0.2,0.1,0.2,0.1,0.1,0.6,0.3,0.2
4,0.7,0.2,0.3,0.4,0.8,0.2,0.1,0.1
5,0.7,0.1,0.2,0.4,0.8,0.2,0.1,0.1
6,0.3,0.1,0.2,0.2,0.7,0.1,0.1,0.1
7,0.7,0.2,0.3,0.4,0.8,0.2,0.1,0.1
8,0.7,0.2,0.3,0.2,0.8,0.1,0.1,0.1
9,0.8,0.2,0.3,0.1,0.9,0.1,0.0,0.0
10,0.8,0.2,0.3,0.4,0.7,0.1,0.0,0.0
11,0.7,0.2,0.3,0.4,0.8,0.1,0.0,0.0
12,0.7,0.2,0.3,0.6,0.8,0.2,0.1,0.1
13,0.8,0.2,0.3,0.6,0.7,0.2,0.1,0.1
14,0.8,0.2,0.3,0.6,0.7,0.3,0.1,0.1
15,0.7,0.2,0.3,0.4,0.6,0.2,0.1,0.1
16,0.7,0.2,0.3,0.4,0.6,0.2,0.1,0.1
17,0.7,0.2,0.3,0.4,0.8,0.6,0.1,0.2
18,0.6,0.1,0.2,0.7,0.5,0.3,0.1,0.1
19,0.7,0.2,0.3,0.6,0.8,0.3,0.1,0.2
20,0.7,0.2,0.3,0.4,0.6,0.1,0,0.1
21,0.7,0.1,0.2,0.8,0.6,0.3,0.1,0.1
22,0.7,0.1,0.2,0.6,0.4,0.2,0.1,0.1
23,0.7,0.2,0.3,0.6,0.8,0.2,0.1,0.1
24,0.7,0.1,0.2,0.4,0.6,0.2,0.1,0.1
25,0.3,0.1,0.2,0.2,0.3,0.1,0,0
26,0.8,0.1,0.2,0.7,0.6,0.3,0.1,0.1
27,0.7,0.2,0.3,0.6,0.8,0.2,0.1,0.1
28,0.7,0.1,0.2,0.6,0.8,0.2,0.1,0.1
