,timestamps
0,26.0
1,28.0
2,30.0
3,32.0
4,34.0
5,36.0
6,38.0
7,40.0
8,42.0
9,46.0
10,48.0
11,50.0
12,56.0
13,58.0
14,60.0
15,68.0
16,70.0
17,72.0
18,76.0
19,78.0
20,80.0
21,84.0
22,86.0
23,88.0
24,92.0
25,94.0
26,96.0
27,104.0
28,106.0
29,108.0
30,112.0
31,114.0
32,116.0
33,118.0
34,120.0
35,122.0
36,126.0
37,128.0
38,130.0
39,136.0
40,138.0
41,140.0
42,144.0
43,146.0
44,148.0
45,150.0
46,152.0
47,154.0
48,158.0
49,160.0
50,162.0
51,164.0
52,166.0
53,168.0
54,172.0
55,174.0
56,176.0
57,180.0
58,182.0
59,184.0
60,188.0
61,190.0
62,192.0
63,200.0
64,202.0
65,204.0
66,208.0
67,210.0
68,212.0
69,220.0
70,222.0
71,224.0
72,228.0
73,230.0
74,232.0
75,234.0
76,236.0
77,238.0
78,242.0
79,244.0
80,246.0
81,250.0
82,252.0
83,254.0
84,254.0
85,256.0
86,258.0
87,264.0
88,266.0
89,268.0
90,270.0
91,272.0
92,274.0
93,280.0
94,282.0
95,284.0
96,286.0
97,288.0
98,290.0
99,292.0
100,294.0
101,296.0
102,300.0
103,302.0
104,304.0
105,310.0
106,312.0
107,314.0
108,316.0
109,318.0
110,320.0
111,328.0
112,330.0
113,332.0
114,334.0
115,336.0
116,338.0
117,340.0
118,342.0
119,344.0
120,350.0
121,352.0
122,354.0
123,358.0
124,360.0
125,362.0
126,364.0
127,366.0
128,368.0
129,372.0
130,374.0
131,376.0
132,380.0
133,382.0
134,384.0
135,386.0
136,388.0
137,390.0
138,394.0
139,396.0
140,398.0
141,400.0
142,402.0
143,404.0
144,410.0
145,412.0
146,414.0
147,416.0
148,418.0
149,420.0
150,422.0
151,424.0
152,426.0
153,432.0
154,434.0
155,436.0
156,438.0
157,440.0
158,442.0
159,446.0
160,448.0
161,450.0
162,452.0
163,454.0
164,456.0
165,464.0
166,466.0
167,468.0
168,470.0
169,472.0
170,474.0
171,478.0
172,480.0
173,482.0
174,486.0
175,488.0
176,490.0
177,494.0
178,496.0
179,498.0
180,502.0
181,504.0
182,506.0
183,514.0
184,516.0
185,518.0
186,520.0
187,522.0
188,524.0
189,526.0
190,528.0
191,530.0
192,534.0
193,536.0
194,538.0
195,538.0
196,540.0
197,542.0
198,548.0
199,550.0
200,552.0
201,556.0
202,558.0
203,560.0
204,564.0
205,566.0
206,568.0
207,578.0
208,580.0
209,582.0
210,584.0
211,586.0
212,588.0
213,594.0
214,596.0
215,598.0
216,602.0
217,604.0
218,606.0
219,610.0
220,612.0
221,614.0
222,622.0
223,624.0
224,626.0
225,628.0
226,630.0
227,632.0
228,634.0
229,636.0
230,638.0
231,640.0
232,642.0
233,644.0
234,648.0
235,650.0
236,652.0
237,654.0
238,656.0
239,658.0
240,664.0
241,666.0
242,668.0
243,674.0
244,676.0
245,678.0
246,686.0
247,688.0
248,690.0
249,696.0
250,698.0
251,700.0
252,702.0
253,704.0
254,706.0
255,708.0
256,710.0
257,712.0
258,718.0
259,720.0
260,722.0
261,722.0
262,724.0
263,726.0
264,730.0
265,732.0
266,734.0
267,738.0
268,740.0
269,742.0
270,742.0
271,744.0
272,746.0
