,timestamps
0,28.0
1,34.0
2,40.0
3,48.0
4,58.0
5,70.0
6,78.0
7,86.0
8,94.0
9,106.0
10,114.0
11,120.0
12,128.0
13,138.0
14,146.0
15,152.0
16,160.0
17,166.0
18,174.0
19,182.0
20,190.0
21,202.0
22,210.0
23,222.0
24,230.0
25,236.0
26,244.0
27,252.0
28,256.0
29,266.0
30,272.0
31,282.0
32,288.0
33,294.0
34,302.0
35,312.0
36,318.0
37,330.0
38,336.0
39,342.0
40,352.0
41,360.0
42,366.0
43,374.0
44,382.0
45,388.0
46,396.0
47,402.0
48,412.0
49,418.0
50,424.0
51,434.0
52,440.0
53,448.0
54,454.0
55,466.0
56,472.0
57,480.0
58,488.0
59,496.0
60,504.0
61,516.0
62,522.0
63,528.0
64,536.0
65,540.0
66,550.0
67,558.0
68,566.0
69,580.0
70,586.0
71,596.0
72,604.0
73,612.0
74,624.0
75,630.0
76,636.0
77,642.0
78,650.0
79,656.0
80,666.0
81,676.0
82,688.0
83,698.0
84,704.0
85,710.0
86,720.0
87,724.0
88,732.0
89,740.0
90,744.0
